reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.14,-11.42857143,-0.14,0.00,0,0.285714286,0.285714286,-15.28571429,0.714285714,1,973,-0.571428571,0.428571429,401.1428571,0.428571429,339.7142857,1,2.53
0.43,-43.28571429,1.57,2.00,827.5714286,-0.571428571,1.428571429,258.7142857,-0.428571429,1,155,-0.285714286,0.714285714,228.2857143,1.285714286,367.3928571,1,2.57
46.71,18021,-6.57,40.14,7785,-9.571428571,30.57142857,25082.85714,-14.85714286,15.71428571,1743.285714,0.857142857,16.57142857,3680,25.75,9572.785714,1,3.98
0.43,8.857142857,-0.14,0.29,2.714285714,-0.285714286,0,0,0,0,0,0,0,0,0.071428571,0.678571429,1,0.22
0.29,34.28571429,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.29,2.571428571,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.29,33.57142857,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,5.857142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,17.71428571,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,-0.714285714,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.71,64.42857143,0.29,1.00,-4,-1,0,0,0,0,0,0,0,0,0.25,-1,1,#NUM!
1.57,-639.7142857,-1.43,0.14,-128.4285714,0,0.142857143,-57.14285714,0.285714286,0.428571429,-57.28571429,-0.285714286,0.142857143,-71,0.214285714,-78.46428571,1,1.89
0.14,-56.28571429,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.43,-16.42857143,0.29,0.71,62.71428571,-0.142857143,0.571428571,10,-0.571428571,0,0,0.857142857,0.857142857,92.14285714,0.535714286,41.21428571,1,1.63
0.14,-1.857142857,0.00,0.14,0,0.142857143,0.285714286,54.71428571,-0.142857143,0.142857143,6.285714286,0,0.142857143,-5,0.178571429,14,1,1.18
1.57,237.8571429,-1.43,0.14,87.71428571,2,2.142857143,423.4285714,-0.428571429,1.714285714,458.7142857,1,2.714285714,358,1.678571429,331.9642857,1,2.52
0.43,139.8571429,-0.43,0.00,0,0.142857143,0.142857143,1.714285714,-0.142857143,0,0,0,0,0,0.035714286,0.428571429,1,0.15
